dataset,task,n_estimators,train_accuracy,test_accuracy,train_error,test_error,train_macro_f1,test_macro_f1
Breast Cancer Wisconsin (WDBC),binary,1,0.9296703296703297,0.8771929824561403,0.0703296703296703,0.1228070175438597,0.9237281032604141,0.85995085995086
Breast Cancer Wisconsin (WDBC),binary,5,0.9582417582417583,0.9473684210526315,0.04175824175824172,0.052631578947368474,0.9555483569089012,0.9422297297297297
Breast Cancer Wisconsin (WDBC),binary,10,0.9758241758241758,0.9385964912280702,0.0241758241758242,0.06140350877192979,0.9739514210918023,0.9313666465984347
Breast Cancer Wisconsin (WDBC),binary,15,0.9824175824175824,0.956140350877193,0.01758241758241763,0.04385964912280704,0.9811265969802555,0.951575906889814
Breast Cancer Wisconsin (WDBC),binary,20,0.9956043956043956,0.9473684210526315,0.00439560439560438,0.052631578947368474,0.9952931683700914,0.9415384615384615
Breast Cancer Wisconsin (WDBC),binary,25,0.9978021978021978,0.9473684210526315,0.00219780219780219,0.052631578947368474,0.9976494170037558,0.9422297297297297
Breast Cancer Wisconsin (WDBC),binary,30,0.9978021978021978,0.9824561403508771,0.00219780219780219,0.01754385964912286,0.9976494170037558,0.9809555629802873
Breast Cancer Wisconsin (WDBC),binary,35,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,40,1.0,0.9824561403508771,0.0,0.01754385964912286,1.0,0.9809555629802873
Breast Cancer Wisconsin (WDBC),binary,45,1.0,0.9824561403508771,0.0,0.01754385964912286,1.0,0.9809555629802873
Breast Cancer Wisconsin (WDBC),binary,50,1.0,0.9824561403508771,0.0,0.01754385964912286,1.0,0.9809555629802873
Breast Cancer Wisconsin (WDBC),binary,55,1.0,0.9824561403508771,0.0,0.01754385964912286,1.0,0.9809555629802873
Breast Cancer Wisconsin (WDBC),binary,60,1.0,0.9824561403508771,0.0,0.01754385964912286,1.0,0.9809555629802873
Breast Cancer Wisconsin (WDBC),binary,65,1.0,0.9824561403508771,0.0,0.01754385964912286,1.0,0.9809555629802873
Breast Cancer Wisconsin (WDBC),binary,70,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,75,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,80,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,85,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,90,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,95,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,100,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,105,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,110,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,115,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,120,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,125,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,130,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,135,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,140,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,145,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,150,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,155,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,160,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,165,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,170,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,175,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,180,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,185,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,190,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,195,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Breast Cancer Wisconsin (WDBC),binary,200,1.0,0.9736842105263158,0.0,0.02631578947368418,1.0,0.9712773998488284
Adult Income,binary_imbalanced,1,0.75225,0.752,0.24775000000000003,0.248,0.4293051790555001,0.4292237442922374
Adult Income,binary_imbalanced,5,0.8215,0.817,0.1785,0.18300000000000005,0.7037195643432721,0.6933517657408571
Adult Income,binary_imbalanced,10,0.82775,0.831,0.17225000000000001,0.16900000000000004,0.7255395324153646,0.7303244563803798
Adult Income,binary_imbalanced,15,0.83,0.832,0.17000000000000004,0.16800000000000004,0.7297808522711919,0.7324414715719063
Adult Income,binary_imbalanced,20,0.82525,0.818,0.17474999999999996,0.18200000000000005,0.7526563566122095,0.7483838501141951
Adult Income,binary_imbalanced,25,0.8345,0.843,0.16549999999999998,0.15700000000000003,0.7406759895345918,0.75422629027284
Adult Income,binary_imbalanced,30,0.83575,0.833,0.16425,0.16700000000000004,0.7561875073930016,0.7530458905801055
Adult Income,binary_imbalanced,35,0.83675,0.835,0.16325,0.16500000000000004,0.7588953715757397,0.7568204494842383
Adult Income,binary_imbalanced,40,0.837,0.835,0.16300000000000003,0.16500000000000004,0.7593655517762661,0.7568204494842383
Adult Income,binary_imbalanced,45,0.83775,0.835,0.16225,0.16500000000000004,0.760170910560656,0.7568204494842383
Adult Income,binary_imbalanced,50,0.8375,0.836,0.16249999999999998,0.16400000000000003,0.7607048677415804,0.75869720029898
Adult Income,binary_imbalanced,55,0.84175,0.833,0.15825,0.16700000000000004,0.765689177810543,0.7530458905801055
Adult Income,binary_imbalanced,60,0.8415,0.833,0.15849999999999997,0.16700000000000004,0.7652199674122352,0.7530458905801055
Adult Income,binary_imbalanced,65,0.841,0.833,0.15900000000000003,0.16700000000000004,0.7646779362255007,0.7530458905801055
Adult Income,binary_imbalanced,70,0.8415,0.833,0.15849999999999997,0.16700000000000004,0.7652199674122352,0.7530458905801055
Adult Income,binary_imbalanced,75,0.841,0.833,0.15900000000000003,0.16700000000000004,0.7646779362255007,0.7530458905801055
Adult Income,binary_imbalanced,80,0.841,0.833,0.15900000000000003,0.16700000000000004,0.7646779362255007,0.7530458905801055
Adult Income,binary_imbalanced,85,0.84125,0.833,0.15874999999999995,0.16700000000000004,0.764551264837094,0.7530458905801055
Adult Income,binary_imbalanced,90,0.8415,0.834,0.15849999999999997,0.16600000000000004,0.7648224892018654,0.75411050214783
Adult Income,binary_imbalanced,95,0.842,0.834,0.15800000000000003,0.16600000000000004,0.7657627406352352,0.75411050214783
Adult Income,binary_imbalanced,100,0.8415,0.834,0.15849999999999997,0.16600000000000004,0.7648224892018654,0.75411050214783
Adult Income,binary_imbalanced,105,0.842,0.834,0.15800000000000003,0.16600000000000004,0.7657627406352352,0.75411050214783
Adult Income,binary_imbalanced,110,0.84175,0.834,0.15825,0.16600000000000004,0.7652928356565047,0.75411050214783
Adult Income,binary_imbalanced,115,0.842,0.834,0.15800000000000003,0.16600000000000004,0.7659605984298623,0.75411050214783
Adult Income,binary_imbalanced,120,0.84175,0.834,0.15825,0.16600000000000004,0.7652928356565047,0.75411050214783
Adult Income,binary_imbalanced,125,0.84225,0.834,0.15774999999999995,0.16600000000000004,0.7664294963640642,0.75411050214783
Adult Income,binary_imbalanced,130,0.8425,0.835,0.15749999999999997,0.16500000000000004,0.7665039977851236,0.7543440166390987
Adult Income,binary_imbalanced,135,0.843,0.836,0.15700000000000003,0.16400000000000003,0.7674418604651163,0.7562483650804974
Adult Income,binary_imbalanced,140,0.84275,0.836,0.15725,0.16400000000000003,0.7669731488420113,0.7562483650804974
Adult Income,binary_imbalanced,145,0.843,0.836,0.15700000000000003,0.16400000000000003,0.7674418604651163,0.7562483650804974
Adult Income,binary_imbalanced,150,0.84275,0.836,0.15725,0.16400000000000003,0.7669731488420113,0.7562483650804974
Adult Income,binary_imbalanced,155,0.845,0.838,0.15500000000000003,0.16200000000000003,0.772507034853023,0.7616399173685047
Adult Income,binary_imbalanced,160,0.844,0.836,0.15600000000000003,0.16400000000000003,0.7685319136624038,0.7562483650804974
Adult Income,binary_imbalanced,165,0.84425,0.835,0.15575000000000006,0.16500000000000004,0.7690006897535584,0.7551779856044656
Adult Income,binary_imbalanced,170,0.84425,0.836,0.15575000000000006,0.16400000000000003,0.7690006897535584,0.757073026218338
Adult Income,binary_imbalanced,175,0.8445,0.839,0.15549999999999997,0.16100000000000003,0.7684878459841202,0.7602993132054234
Adult Income,binary_imbalanced,180,0.84625,0.84,0.15375000000000005,0.16000000000000003,0.7740606779336913,0.7645826344380293
Adult Income,binary_imbalanced,185,0.84575,0.84,0.15425,0.16000000000000003,0.7733259159107113,0.7645826344380293
Adult Income,binary_imbalanced,190,0.84475,0.839,0.15525,0.16100000000000003,0.7737276072086158,0.766582433370883
Adult Income,binary_imbalanced,195,0.84625,0.84,0.15375000000000005,0.16000000000000003,0.7748075771940859,0.7645826344380293
Adult Income,binary_imbalanced,200,0.84625,0.84,0.15375000000000005,0.16000000000000003,0.7748075771940859,0.7653628663272249
Covertype subset,multiclass,1,0.6265,0.633,0.37350000000000005,0.367,0.1926527455877224,0.19475206942015227
Covertype subset,multiclass,5,0.5775,0.583,0.4225,0.41700000000000004,0.16325472470484215,0.16659133065428247
Covertype subset,multiclass,10,0.65825,0.667,0.34175,0.33299999999999996,0.2789347094424377,0.2853025695406542
Covertype subset,multiclass,15,0.62725,0.638,0.37275,0.362,0.26549356887367137,0.2729008023330697
Covertype subset,multiclass,20,0.5995,0.611,0.40049999999999997,0.389,0.2586342700345444,0.26178694298612587
Covertype subset,multiclass,25,0.6145,0.63,0.38549999999999995,0.37,0.26787327708863196,0.27271801791662786
Covertype subset,multiclass,30,0.5765,0.584,0.4235,0.41600000000000004,0.2604863791468713,0.25171442412410744
Covertype subset,multiclass,35,0.6395,0.647,0.36050000000000004,0.353,0.28617436257658346,0.2832378873391127
Covertype subset,multiclass,40,0.622,0.627,0.378,0.373,0.2881872035224937,0.27778061121020053
Covertype subset,multiclass,45,0.59125,0.596,0.40874999999999995,0.404,0.2730542566753035,0.2627789923229447
Covertype subset,multiclass,50,0.584,0.596,0.41600000000000004,0.404,0.27063643387635616,0.2638119553784416
Covertype subset,multiclass,55,0.5625,0.569,0.4375,0.43100000000000005,0.26114692231650277,0.25783531406584587
Covertype subset,multiclass,60,0.55375,0.553,0.44625000000000004,0.44699999999999995,0.2990553639979656,0.2992448262610967
Covertype subset,multiclass,65,0.54975,0.553,0.45025000000000004,0.44699999999999995,0.2956625475470128,0.2905616623992961
Covertype subset,multiclass,70,0.549,0.557,0.45099999999999996,0.44299999999999995,0.291776623833574,0.2914879136588082
Covertype subset,multiclass,75,0.542,0.555,0.45799999999999996,0.44499999999999995,0.30288362115794293,0.30388607697721
Covertype subset,multiclass,80,0.538,0.549,0.46199999999999997,0.45099999999999996,0.30233387992573396,0.3020482105885832
Covertype subset,multiclass,85,0.5615,0.555,0.4385,0.44499999999999995,0.31112048016259547,0.3023595825324606
Covertype subset,multiclass,90,0.5475,0.544,0.4525,0.45599999999999996,0.2943216556894407,0.2761129057274048
Covertype subset,multiclass,95,0.56125,0.565,0.43875,0.43500000000000005,0.2991928725740499,0.28657500846044387
Covertype subset,multiclass,100,0.56275,0.568,0.43725,0.43200000000000005,0.3084045755312149,0.3051211619132335
Covertype subset,multiclass,105,0.5585,0.566,0.4415,0.43400000000000005,0.28579782251471475,0.2989661677791891
Covertype subset,multiclass,110,0.56275,0.573,0.43725,0.42700000000000005,0.30263407619662874,0.30317173359926347
Covertype subset,multiclass,115,0.575,0.563,0.42500000000000004,0.43700000000000006,0.31799342801714175,0.3022728688506219
Covertype subset,multiclass,120,0.5685,0.565,0.4315,0.43500000000000005,0.3135886657434829,0.3051250183010354
Covertype subset,multiclass,125,0.55375,0.556,0.44625000000000004,0.44399999999999995,0.30463793256434213,0.29999079858371364
Covertype subset,multiclass,130,0.53675,0.541,0.46325000000000005,0.45899999999999996,0.2956807460610193,0.27613760527858794
Covertype subset,multiclass,135,0.54975,0.553,0.45025000000000004,0.44699999999999995,0.2965849144904336,0.27508508128516945
Covertype subset,multiclass,140,0.5505,0.554,0.4495,0.44599999999999995,0.3054229731322224,0.2880531403099401
Covertype subset,multiclass,145,0.54825,0.554,0.45175,0.44599999999999995,0.31073172697587675,0.30248767813727234
Covertype subset,multiclass,150,0.5345,0.536,0.4655,0.46399999999999997,0.3020733359889293,0.2729184561201579
Covertype subset,multiclass,155,0.537,0.531,0.46299999999999997,0.469,0.30516793402387815,0.2726581050626823
Covertype subset,multiclass,160,0.54225,0.541,0.45775,0.45899999999999996,0.3024110094994429,0.2875138125124596
Covertype subset,multiclass,165,0.55975,0.563,0.44025000000000003,0.43700000000000006,0.3087850009083132,0.28574344928491513
Covertype subset,multiclass,170,0.55925,0.562,0.44075,0.43799999999999994,0.3232851073601606,0.3068254818932354
Covertype subset,multiclass,175,0.57325,0.572,0.42674999999999996,0.42800000000000005,0.31826043935259435,0.29612609589036165
Covertype subset,multiclass,180,0.57275,0.577,0.42725,0.42300000000000004,0.3162641252300343,0.3011311060804445
Covertype subset,multiclass,185,0.55775,0.572,0.44225000000000003,0.42800000000000005,0.3394168576352608,0.3468352846709177
Covertype subset,multiclass,190,0.5585,0.567,0.4415,0.43300000000000005,0.34483718457707446,0.31363618477676997
Covertype subset,multiclass,195,0.555,0.57,0.44499999999999995,0.43000000000000005,0.3377513080091883,0.34809567127410057
Covertype subset,multiclass,200,0.55375,0.569,0.44625000000000004,0.43100000000000005,0.349466733197954,0.3393675675227824
